ensg,symbol,name
ENSG00000275434,KIR3DS1,"killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1"
ENSG00000275475,IGHV3-54,immunoglobulin heavy variable 3-54 (pseudogene)
ENSG00000275747,IGHV3-79,immunoglobulin heavy variable 3-79 (pseudogene)
ENSG00000276050,IGKV2OR2-10,immunoglobulin kappa variable 2/OR2-10 (pseudogene)
ENSG00000276387,KIR2DS1,"killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1"
ENSG00000276427,IGLL4P,"immunoglobulin lambda like polypeptide 4, pseudogene"
ENSG00000276566,IGKV1D-13,immunoglobulin kappa variable 1D-13
ENSG00000276674,IGKV1OR1-1,immunoglobulin kappa variable 1/OR1-1 (pseudogene)
ENSG00000276775,IGHV4-4,immunoglobulin heavy variable 4-4
ENSG00000277282,IGHV1OR21-1,immunoglobulin heavy variable 1/OR21-1 (non-functional)
ENSG00000278196,IGLV2-8,immunoglobulin lambda variable 2-8
ENSG00000278473,IGHV3-41,immunoglobulin heavy variable 3-41 (pseudogene)
ENSG00000278537,IGKV2OR2-8,immunoglobulin kappa variable 2/OR2-8 (pseudogene)
ENSG00000278857,IGKV1D-12,immunoglobulin kappa variable 1D-12
ENSG00000280411,IGHV1-69D,immunoglobulin heavy variable 1-69D
ENSG00000281990,IGHV1-69-2,immunoglobulin heavy variable 1-69-2
ENSG00000282089,IGHD3OR15-3B,immunoglobulin heavy diversity 3/OR15-3B (non-functional)
ENSG00000282122,IGHV7-4-1,immunoglobulin heavy variable 7-4-1
ENSG00000282268,IGHD2OR15-2B,immunoglobulin heavy diversity 2/OR15-2B (non-functional)
ENSG00000282520,IGHD3OR15-3A,immunoglobulin heavy diversity 3/OR15-3A (non-functional)
ENSG00000282599,IGHD2OR15-2A,immunoglobulin heavy diversity 2/OR15-2A (non-functional)
ENSG00000282600,IGHV3-69-1,immunoglobulin heavy variable 3-69-1 (pseudogene)
ENSG00000282639,IGHV3-64D,immunoglobulin heavy variable 3-64D
ENSG00000282651,IGHV5-10-1,immunoglobulin heavy variable 5-10-1
ENSG00000283195,IGHVII-43-1,immunoglobulin heavy variable (II)-43-1 (pseudogene)
ENSG00000283562,IGHVIII-44,immunoglobulin heavy variable (III)-44 (pseudogene)
ENSG00000283607,IGHVII-30-21,immunoglobulin heavy variable (II)-30-21 (pseudogene)
ENSG00000283703,VSIG10L2,V-set and immunoglobulin domain containing 10 like 2
ENSG00000283906,IGHV4-80,immunoglobulin heavy variable 4-80 (pseudogene)
ENSG00000283948,IGHVIII-16-1,immunoglobulin heavy variable (III)-16-1 (pseudogene)
